City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Natal,BR,2022-05-15 14:45:44,-5.795,-35.2094,86.22,74,75,12.66
147,Pacific Grove,US,2022-05-15 14:45:45,36.6177,-121.9166,54.43,95,100,11.01
148,Ayolas,PY,2022-05-15 14:45:45,-27.4,-56.9,64.44,72,89,8.95
149,Yarada,IN,2022-05-15 14:45:46,17.65,83.2667,86.32,84,20,5.75
150,Erdenet,MN,2022-05-15 14:45:46,49.0333,104.0833,53.29,24,48,3.2
151,San Andres,CO,2022-05-15 14:45:47,12.5847,-81.7006,84.22,74,75,10.36
152,Kutum,SD,2022-05-15 14:45:47,14.2,24.6667,77.52,51,99,10.74
153,Dikson,RU,2022-05-15 14:45:47,73.5069,80.5464,33.57,99,100,8.55
154,Rossland,CA,2022-05-15 14:43:23,49.0831,-117.8022,45.91,87,100,2.91
155,Amravati,IN,2022-05-15 14:45:48,20.9333,77.75,102.87,16,59,11.86
156,Ribeira Grande,PT,2022-05-15 14:45:48,38.5167,-28.7,57.6,94,75,23.02
157,Raudeberg,NO,2022-05-15 14:45:49,61.9875,5.1352,50.67,92,61,10.94
158,Nanortalik,GL,2022-05-15 14:45:49,60.1432,-45.2371,31.19,72,53,10.76
159,Constantine,DZ,2022-05-15 14:42:23,36.365,6.6147,89.01,29,40,12.66
160,Port Alfred,ZA,2022-05-15 14:45:50,-33.5906,26.891,69.19,79,45,5.01
161,Laguna,US,2022-05-15 14:43:02,38.421,-121.4238,73.09,74,0,4.61
162,Sao Filipe,CV,2022-05-15 14:45:50,14.8961,-24.4956,79.86,61,47,9.19
163,Diego De Almagro,CL,2022-05-15 14:45:51,-26.3667,-70.05,72.43,17,0,3.78
164,Anadyr,RU,2022-05-15 14:45:00,64.75,177.4833,34.3,93,0,8.95
165,Cidreira,BR,2022-05-15 14:45:51,-30.1811,-50.2056,63.03,93,100,10.92
166,Esperance,AU,2022-05-15 14:45:52,-33.8667,121.9,53.44,68,99,7.4
167,Los Llanos De Aridane,ES,2022-05-15 14:45:52,28.6585,-17.9182,69.55,76,20,5.99
168,Kruisfontein,ZA,2022-05-15 14:45:53,-34.0033,24.7314,69.89,67,2,9.01
169,Tuatapere,NZ,2022-05-15 14:45:53,-46.1333,167.6833,43.83,88,8,4.09
170,Ancud,CL,2022-05-15 14:45:54,-41.8697,-73.8203,50.59,71,54,9.75
171,Gorakhpur,IN,2022-05-15 14:45:27,29.45,75.6833,103.69,6,30,8.68
172,Port Keats,AU,2022-05-15 14:45:54,-14.25,129.55,76.8,80,6,1.61
173,Vozhega,RU,2022-05-15 14:45:55,60.4725,40.2213,47.34,95,100,6.53
174,Ilulissat,GL,2022-05-15 14:44:14,69.2167,-51.1,24.82,39,8,3.44
175,Ankang,CN,2022-05-15 14:45:55,32.68,109.0172,54.84,67,98,0.96
176,Kavaratti,IN,2022-05-15 14:45:56,10.5669,72.642,81.43,80,100,15.52
177,Port Elizabeth,ZA,2022-05-15 14:41:05,-33.918,25.5701,69.31,78,0,10.36
178,Sabang,ID,2022-05-15 14:46:00,5.8933,95.3214,85.03,75,85,18.54
179,Stony Mountain,CA,2022-05-15 14:46:00,50.0864,-97.2196,51.78,70,75,13.8
180,Davila,PH,2022-05-15 14:46:01,18.4726,120.5763,82.53,79,99,3.69
181,Souillac,MU,2022-05-15 14:43:43,-20.5167,57.5167,75.58,78,40,3.44
182,Urucara,BR,2022-05-15 14:47:02,-2.5364,-57.76,85.93,69,97,5.97
183,Petrolina,BR,2022-05-15 14:43:51,-9.3986,-40.5008,86.05,51,75,12.66
184,Dubbo,AU,2022-05-15 14:42:46,-32.25,148.6167,51.93,94,0,6.91
185,Bethel,US,2022-05-15 14:42:14,41.3712,-73.414,70.38,80,100,4.61
186,Holme,DK,2022-05-15 14:47:02,56.1138,10.1725,63.18,59,68,9.26
187,Saint George,US,2022-05-15 14:47:03,37.1041,-113.5841,63.19,14,0,3.44
188,Tarazona,ES,2022-05-15 14:47:03,41.9,-1.7333,84.02,31,75,20.62
189,Bintulu,MY,2022-05-15 14:47:04,3.1667,113.0333,79.21,88,40,1.14
190,Wanning,CN,2022-05-15 14:47:04,18.8003,110.3967,77.88,94,100,10.11
191,Ramhormoz,IR,2022-05-15 14:47:05,31.28,49.6035,99.5,6,0,7.11
192,Georgetown,MY,2022-05-15 14:45:19,5.4112,100.3354,83.95,94,20,5.99
193,Talnakh,RU,2022-05-15 14:47:05,69.4865,88.3972,36.9,100,100,10.45
194,Illapel,CL,2022-05-15 14:47:06,-31.6308,-71.1653,74.48,22,20,2.84
195,Bulgan,MN,2022-05-15 14:47:06,48.8125,103.5347,55.38,22,39,3.2
196,Roma,US,2022-05-15 14:42:14,43.2128,-75.4557,76.95,75,75,5.01
197,Solnechnyy,RU,2022-05-15 14:47:07,50.7214,136.6319,36.77,94,100,2.75
198,Bocana De Paiwas,NI,2022-05-15 14:47:07,12.7857,-85.1227,83.61,63,68,8.95
199,Agua Branca,BR,2022-05-15 14:47:07,-5.8922,-42.6361,86.85,56,59,6.58
200,Erenhot,CN,2022-05-15 14:47:08,43.6475,111.9767,58.6,20,6,9.73
201,Maicao,CO,2022-05-15 14:47:08,11.3832,-72.2432,85.71,67,89,15.08
202,Thompson,CA,2022-05-15 14:47:09,55.7435,-97.8558,33.96,100,100,13.8
203,Baculin,PH,2022-05-15 14:47:09,7.4525,126.5842,76.87,86,97,4.29
204,Tumbes,PE,2022-05-15 14:47:10,-3.5667,-80.4414,78.55,74,73,4.61
205,Broome,US,2022-05-15 14:47:10,42.2506,-75.833,73.54,77,75,6.91
206,Esperanza,DO,2022-05-15 14:47:11,19.5847,-70.9849,84.29,69,100,8.01
207,Lebu,CL,2022-05-15 14:47:11,-37.6167,-73.65,56.08,44,100,0.94
208,Bilibino,RU,2022-05-15 14:47:11,68.0546,166.4372,19.44,96,100,4.41
209,Xiongyue,CN,2022-05-15 14:47:12,40.1774,122.1228,56.97,50,27,12.8
210,Barcelos,PT,2022-05-15 14:47:12,41.5388,-8.6151,69.91,63,100,14.9
211,Medea,DZ,2022-05-15 14:47:13,36.2642,2.7539,83.01,30,73,4.5
212,Adrar,MR,2022-05-15 14:46:21,20.5022,-10.0711,105.6,7,14,17.92
213,Mumbwa,ZM,2022-05-15 14:47:13,-14.9783,27.0619,72.25,37,2,5.59
214,Petropavlovsk-Kamchatskiy,RU,2022-05-15 14:45:12,53.0452,158.6483,36.19,100,75,13.42
215,Bogorodskoye,RU,2022-05-15 14:47:14,56.55,37.8833,53.44,75,99,9.55
216,Griffith,US,2022-05-15 14:47:14,41.5284,-87.4237,76.14,55,0,6.91
217,Kemijarvi,FI,2022-05-15 14:47:15,66.7131,27.4306,49.71,76,100,7.14
218,Aswan,EG,2022-05-15 14:47:15,24.0934,32.907,103.5,12,10,17.36
219,Saint-Joseph,RE,2022-05-15 14:47:16,-21.3667,55.6167,73.78,73,22,10.58
220,Mkuranga,TZ,2022-05-15 14:47:16,-7.118,39.2078,83.39,82,3,5.57
221,Tura,IN,2022-05-15 14:47:17,25.5198,90.2201,73.92,96,37,7.56
222,Lazaro Cardenas,MX,2022-05-15 14:47:17,17.9583,-102.2,83.97,57,77,1.79
223,Bandarbeyla,SO,2022-05-15 14:47:18,9.4942,50.8122,83.16,80,9,24.34
224,Gryazovets,RU,2022-05-15 14:47:18,58.88,40.2525,48.99,84,100,6.85
225,Ponta Do Sol,PT,2022-05-15 14:47:19,32.6667,-17.1,78.71,67,54,8.81
226,Ostersund,SE,2022-05-15 14:47:19,63.1792,14.6357,41.45,70,40,19.57
227,Aljezur,PT,2022-05-15 14:47:19,37.3191,-8.8033,69.85,64,65,12.08
228,Touros,BR,2022-05-15 14:47:20,-5.1989,-35.4608,85.98,65,100,12.8
229,Chokurdakh,RU,2022-05-15 14:47:20,70.6333,147.9167,3.38,97,62,4.83
230,Port Hardy,CA,2022-05-15 14:48:21,50.6996,-127.4199,48.2,93,100,2.3
231,Kangaatsiaq,GL,2022-05-15 14:48:21,68.3065,-53.4641,23.65,71,12,10.2
232,Lively,CA,2022-05-15 14:48:22,46.4334,-81.1498,76.37,38,93,6.38
233,Ayagoz,KZ,2022-05-15 14:48:22,47.9714,80.4392,56.55,83,94,4.97
234,Agadez,NE,2022-05-15 14:48:22,19.75,10.25,93.76,10,0,11.01
235,Maragheh,IR,2022-05-15 14:48:23,37.3917,46.2398,80.87,23,40,9.22
236,Kloulklubed,PW,2022-05-15 14:48:23,7.0419,134.2556,75.7,72,19,4.27
237,Santa Fe,AR,2022-05-15 14:48:24,-31.6333,-60.7,57.02,67,88,8.01
238,Mar Del Plata,AR,2022-05-15 14:44:05,-38.0023,-57.5575,53.94,77,75,13.8
239,Dzhebariki-Khaya,RU,2022-05-15 14:48:25,62.2167,135.8,36.05,93,100,5.88
240,Terrace Bay,CA,2022-05-15 14:48:25,48.7834,-87.1,43.43,78,72,6.31
241,Tuktoyaktuk,CA,2022-05-15 14:43:44,69.4541,-133.0374,26.6,86,100,11.5
242,Najran,SA,2022-05-15 14:48:26,17.4924,44.1277,90.25,6,8,14.94
243,Saint-Philippe,RE,2022-05-15 14:39:56,-21.3585,55.7679,74.79,73,39,9.06
244,Lasa,IT,2022-05-15 14:48:26,46.6166,10.7002,77.68,63,64,2.98
245,Visby,SE,2022-05-15 14:48:27,57.6409,18.296,61.05,41,0,4.61
246,Luanda,AO,2022-05-15 14:44:22,-8.8368,13.2343,79.65,76,8,11.52
247,Quelimane,MZ,2022-05-15 14:48:27,-17.8786,36.8883,76.95,83,75,4.61
248,Merauke,ID,2022-05-15 14:48:28,-8.4667,140.3333,78.82,70,8,5.57
249,Bjornevatn,NO,2022-05-15 14:48:28,69.6672,29.9847,48.54,66,0,11.5
250,Nouadhibou,MR,2022-05-15 14:48:29,20.931,-17.0347,87.78,42,100,12.66
251,Hongjiang,CN,2022-05-15 14:48:29,27.11,109.9956,53.65,99,100,2.04
